台帳番号,緯度,経度,エリア,行政区,所在地
A1-1,35.1245714885662,137.014247093752,北西地区,赤池区,ｻﾝｼｬｲﾝ近藤、ｳｨﾙﾓｱ赤池（赤池町村東192-1、193-2）
A1-11,35.1104509374989,137.023126095317,南西地区,赤池区,ﾌｫﾚｽﾄ赤池（赤池町箕ノ手2-73）
A1-13,35.1244230149629,137.016264360268,北西地区,赤池区,ｽｷﾙｽﾞ赤池（赤池町村東62-1）
A1-15,35.119392161217,137.023317991645,南西地区,赤池区,ｹｲｽﾞ赤池（赤池町箕ノ手2-713）
A1-16,35.12393443081,137.010493781125,北西地区,赤池区,ﾃﾞｰｼﾞｰ大和（赤池町西組104）
A1-17,35.122622889976,137.00922772536,北西地区,赤池区,ﾙｲｰｽﾞ平針（赤池町西組116）
A1-2,35.1218526458765,137.010449698566,北西地区,赤池区,ﾌﾞﾘｰｽﾞⅡ（赤池町西組133-3）
A1-23,35.1127993319253,137.024743524116,南西地区,赤池区,ﾊｯﾋﾟｰﾋﾙｽﾞ（赤池町箕ノ手2-92）
A1-27,35.1113324264814,137.022935970387,南西地区,赤池区,㈱ｴﾙﾋﾞｰ日進ｱﾊﾟｰﾄ（赤池町箕ノ手2-779）
A1-28,35.1111638752216,137.025795336265,南西地区,赤池区,ｸﾚｽﾄｰﾙ（赤池町箕ノ手2-444）
A1-29,35.1117581148425,137.02564007058,南西地区,赤池区,ﾊｯﾋﾟｰﾋﾙｽﾞｳﾞｨﾚｯｼﾞ（赤池町箕ノ手2-59、2-359）
A1-33,35.1309818160235,137.005604949978,北西地区,赤池区,ｺﾓﾝﾃﾗｽ日進梅森（赤池町北山15-4、15-21、15-22、15-23、15-24、15-25）
A1-35,35.1156475398001,137.024947799654,南西地区,赤池区,ｻｰﾄﾞｳﾞｨﾗ赤池（赤池町箕ノ手2-643）
A1-36,35.1227754254822,137.014027492235,北西地区,赤池区,ﾜﾝﾀﾞｰｽｸｴｱ赤池Ⅲ（赤池町村東137-7）
A1-37,35.1119832667921,137.02545790359,南西地区,赤池区,小池組寮（赤池町箕ノ手2-354）
A1-38,35.121966354312,137.01124833159,北西地区,赤池区,ｸﾞﾗﾝｳﾞｪｰﾙ（赤池町西組159-1）
A1-39,35.1245059259596,137.01358198051,北西地区,赤池区,ｴｽﾄｳﾞｨﾗｰｼﾞｭ（赤池町村東200-3）
A1-4,35.1184837847045,137.019795180542,南西地区,赤池区,ﾊｳｽKⅢ（赤池町中島109-57）
A1-40,35.1104172811891,137.023709328183,南西地区,赤池区,ウィンズガーデン（赤池町箕ノ手2-470）
A1-41,35.124433056731,137.016438468091,北西地区,赤池区,ﾄﾞﾙｸｽ（赤池町村東61-1）
A1-42,35.1246802919984,137.013958983855,北西地区,赤池区,日進市赤池町下郷96
A1-43,35.1228227523377,137.009513266507,北西地区,赤池区,カーサ・ニコ（日進市赤池町西組115-1）
A1-44,35.1231634723146,137.014290861232,北西地区,赤池区,セソシール（日進市赤池町村東157-1）
A1-45,35.1113099091852,137.020016488771,南西地区,赤池区,KAZENSA（赤池町モチロ61-60）
A1-46,35.1193218827658,137.023423878629,南西地区,赤池区,奇窓館（日進市赤池町箕ノ手２－１５６）
A1-5,35.1182844901067,137.020405757292,南西地区,赤池区,ﾘｳﾞｪｰﾙ近藤（赤池町箕ノ手2-1596）
A1-50,35.1152411400089,137.021349200277,南西地区,赤池区,ウィステリアＫ　Ⅰ、Ⅱ（日進市赤池町モチロ６１－１４２）
A1-51,35.1143773095751,137.027525040368,南西地区,赤池区,サンブライトⅡ（日進市赤池町箕ノ手２番３０６）
A1-6,35.1177691012995,137.020458133093,南西地区,赤池区,ｺｰﾎﾟﾗｽ赤池（赤池町箕ノ手2-588）
A1-8,35.1168467174926,137.026707889132,南西地区,赤池区,箕ノ手ﾊｲﾂ、ﾊｲﾂ早川（赤池町箕ノ手2-1579、1580、1581、1582）
A1-9,35.1144514673298,137.029713350379,南西地区,赤池区,西濃運輸㈱寮（浅田町美濃輪1-12）
A11-1,35.139734997619,137.045368804387,北東地区,本郷区,ｻﾝｼﾃｨ･ﾏﾐｰﾅ（本郷町宮下522-7）
A11-2,35.1344509894237,137.040546924199,北西地区,本郷区,ﾌﾟﾘﾝｾｽｶﾞｰﾃﾞﾝ（本郷町西原1234-1）
A11-3,35.1359772446769,137.040033640046,北西地区,本郷区,むつみ苑（本郷町西原北通875）
